port_name,latitude,longitude
Port of Aberdeen,57.1333333333333,-2.1
Port of Belfast,54.9833333333333,-5.91666666666667
Port of Grangemouth,56.0,-3.71666666666667
Port of Greenock,55.9333333333333,-4.75
Port of Hull,53.7333333333333,-0.316666666666667
Port of Immingham,53.6,-0.216666666666667
Port of Liverpool,53.4166666666667,-3
Port of London Gateway Port,51.5,0.483333333333333
Port of Teesport,54.5833333333333,-1.15
Port of Tyne,55.0,-1.43333333333333
Port of Degrad des Cannes,4.85,-52.2666666666667
Port of Nuuk (Godthaab),64.1833333333333,-51.75
Port of Point-a-Pitre Apt,16.2666666666667,-61.5166666666667
Port of Heraklion (Iraklion),35.3333333333333,25.1666666666667
Port of Iraklion (Heraklion),35.3333333333333,25.1666666666667
Port of Piraeus,37.9333333333333,23.6166666666667
Port of Thessaloniki,40.6333333333333,22.95
Port of Volos,39.3666666666667,22.95
Port of Puerto Santo Tomas de Castilla,15.7,-88.6166666666667
Port of Piti,13.4333333333333,144.683333333333
Port of Bissau,11.85,-15.5833333333333
Port of Ploce,43.05,17.4333333333333
Port of Rijeka,45.3333333333333,14.4
Port of Split,43.5,16.45
Port of Cap-Haitien,19.75,-72.2
Port of Lafiteau,18.4833333333333,-72.4333333333333
Port of Balikpapan,-1.28333333333333,116.833333333333
Port of Batam Island,1.08333333333333,104.033333333333
Port of Benete,-8.86666666666667,116.716666666667
Port of Benoa,-8.76666666666667,115.216666666667
Port of Jakarta,-6.13333333333333,106.833333333333
Port of Jayapura,-2.53333333333333,140.7
Port of Kumai,-2.73333333333333,111.716666666667
Port of Makassar,-5.11666666666667,119.4
Port of Padang,-0.95,100.35
Port of Perawang,1.06666666666667,102.866666666667
Port of Semarang,-6.96666666666667,110.483333333333
Port of Surabaya,-7.23333333333333,112.75
Port of Tanjungpinang,0.916666666666667,104.45
Port of Timika,-4.75,136.55
Port of Tual,-5.63333333333333,132.733333333333
Port of Waterford,52.25,-7.1
Port of Haifa,32.8,34.9833333333333
Port of Chennai (ex Madras),13.0833333333333,80.2833333333333
Port of Cochin,9.96666666666667,76.2333333333333
Port of Hazira,21.0964104142813,72.6234355746467
Port of Kandla,23.0333333333333,70.2166666666667
Port of Kattupalli Port,13.3,80.3833333333333
Port of Kolkata (ex Calcutta),22.5666666666667,88.35
Port of Marmagao (Marmugao),15.4,73.7833333333333
Port of Marmugao (Marmagao),15.4,73.7833333333333
Port of Mumbai (ex Bombay),18.9666666666667,72.8166666666667
Port of Paradip Garh,20.3166666666667,86.6166666666667
Port of Pipavav (Victor) Port,20.9666666666667,71.55
Port of Tuticorin,8.78333333333333,78.1333333333333
Port of Visakhapatnam,17.7,83.3
Port of Umm Qasr Port,30.0333333333333,47.9333333333333
Port of Asaluyeh,27.4666666666667,52.6
Port of Bandar Abbas,27.1833333333333,56.2666666666667
Port of Bandar Khomeini,30.4333333333333,49.1
Port of Bushehr,28.9666666666667,50.8333333333333
Port of Reykjavik,64.15,-21.95
Port of Ancona,43.6333333333333,13.5
Port of Bari,41.1333333333333,16.85
Port of Cagliari,39.2166666666667,9.11666666666667
Port of Catania,37.5,15.1
Port of Civitavecchia,42.1,11.8
Port of Genova,44.4166666666667,8.95
Port of Gioia Tauro,38.4166666666667,15.9
Port of La Spezia,44.1166666666667,9.83333333333333
Port of Livorno,43.55,10.3166666666667
Port of Napoli,40.8333333333333,14.25
Port of Olbia,40.9166666666667,9.51666666666667
Port of Palermo,38.1166666666667,13.3666666666667
Port of Savona,44.2833333333333,8.5
Port of Trapani,38.0166666666667,12.4833333333333
Port of Vado Ligure,44.2666666666667,8.45
Port of Venezia,45.4333333333333,12.3333333333333
Port of Al 'Aqabah,29.5333333333333,35.0
Port of Hakata,34.1833333333333,133.1
Port of Isa,32.05,130.6
Port of Kitakyushu,33.8333333333333,130.833333333333
Port of Kobe,34.6833333333333,135.166666666667
Port of Mitajiri,34.0333333333333,131.583333333333
Port of Moji/Kitakyushu,33.9,130.966666666667
Port of Osaka,34.6666666666667,135.5
Port of Satsumasendai,31.8166666666667,130.25
Port of Tokyo,35.6833333333333,139.75
Port of Yokohama,35.45,139.65
Port of Kampong Saom,10.6,103.516666666667
Port of Mutsamudu,-12.15,44.3833333333333
Port of Charlestown,17.1333333333333,-62.6166666666667
Port of Busan,35.1333333333333,129.05
Port of Daesan/Seosan,37.0,126.366666666667
Port of Dangjin,36.9666666666667,126.783333333333
Port of Gunsan,35.9833333333333,126.716666666667
Port of Gwangyang,34.9333333333333,127.7
Port of Incheon,37.45,126.616666666667
Port of Masan,35.2,128.566666666667
Port of Mokpo,34.8,126.383333333333
Port of Pohang,36.0333333333333,129.366666666667
Port of Pyeongtaek,36.9666666666667,127.1
Port of Ulsan,35.5333333333333,129.316666666667
Port of Shuaiba,29.0333333333333,48.1333333333333
Port of Shuwaikh,29.35,47.9333333333333
Port of Georgetown,19.3,-81.3833333333333
Port of Beirut,33.8333333333333,35.4833333333333
Port of Castries,14.0166666666667,-60.9666666666667
Port of Colombo,6.91666666666667,79.85
Port of Monrovia,6.3,-10.8
Port of Al Khums,32.65,14.2666666666667
Port of Casablanca,33.5833333333333,-7.6
Port of Giurgiulesti,45.4666666666667,28.1833333333333
Port of Bar,42.0833333333333,19.0833333333333
Port of Ehoala,-25.0666666666667,46.95
Port of Nosy-Be,-13.3333333333333,48.25
Port of Majuro,7.1,171.383333333333
Port of Thilawa,16.65,96.25
Port of Thilawa,16.65,96.25
Port of Marsaxlokk,35.8333333333333,14.5333333333333
Port of Port Mathurin,-19.6833333333333,63.4166666666667
Port of Male,4.16666666666667,73.5
Port of Altamira,22.4,-97.9166666666667
Port of Coatzacoalcos,18.1333333333333,-94.4
Port of Ensenada,31.85,-116.6
Port of Guaymas,27.9166666666667,-110.883333333333
